timestamp,heart_rate,resting_heart_rate,daily_steps,hours_sleep,stress_level,anomaly_label,id
01-01-2024 00:00,74,55,6751,7.06,2.9,0,1
01-01-2024 00:01,71,58,5587,6.79,4,0,1
01-01-2024 00:02,75,60,6077,7.06,2.5,0,1
01-01-2024 00:03,80,60,5630,7.27,2.4,0,1
01-01-2024 00:04,71,59,5652,7.02,2.7,0,1
01-01-2024 00:05,71,62,5753,7.02,2.3,0,1
01-01-2024 00:06,80,57,6178,6.65,3.1,0,1
01-01-2024 00:07,76,60,5617,6.67,4.1,0,1
01-01-2024 00:08,70,60,7005,6.3,3.2,0,1
01-01-2024 00:09,75,62,5284,7.87,2.8,0,1
01-01-2024 00:10,70,62,5851,6.38,2.8,0,1
01-01-2024 00:11,70,57,5648,6.65,1.9,0,1
01-01-2024 00:12,73,55,7158,6.64,3.6,0,1
01-01-2024 00:13,62,64,6157,7.45,2.9,0,1
01-01-2024 00:14,63,61,6825,6.85,2.9,0,1
01-01-2024 00:15,69,58,4812,7.62,5.2,0,1
01-01-2024 00:16,67,65,6214,6.66,3.2,0,1
01-01-2024 00:17,74,60,6712,7.14,2.5,0,1
01-01-2024 00:18,67,64,6066,6.58,2.7,0,1
01-01-2024 00:19,65,60,6852,8.07,3.8,0,1
01-01-2024 00:20,79,66,5586,6.41,3.1,0,1
01-01-2024 00:21,71,65,7127,7.15,2,0,1
01-01-2024 00:22,72,59,7839,7.32,3.6,0,1
01-01-2024 00:23,65,63,5710,7.21,2.5,0,1
01-01-2024 00:24,69,62,5644,6.91,4.3,0,1
01-01-2024 00:25,73,64,7163,6.94,3.8,0,1
01-01-2024 00:26,66,57,7264,7.02,2.7,0,1
01-01-2024 00:27,74,62,5582,6.93,3.9,0,1
01-01-2024 00:28,69,63,5664,7.48,3,0,1
01-01-2024 00:29,71,55,5775,8.11,3.6,0,1
01-01-2024 00:30,69,56,4924,6.72,3.3,0,1
01-01-2024 00:31,81,54,5265,6.32,2.4,0,1
01-01-2024 00:32,72,59,5197,6.96,2.5,0,1
01-01-2024 00:33,67,62,5386,8.29,3.7,0,1
01-01-2024 00:34,76,65,5972,6.6,2.8,0,1
01-01-2024 00:35,66,60,6187,7.82,2.7,0,1
01-01-2024 00:36,73,65,7240,7.84,2.3,0,1
01-01-2024 00:37,62,56,5201,6.72,3.3,0,1
01-01-2024 00:38,65,55,6787,7.28,4.4,0,1
01-01-2024 00:39,73,60,5829,7.81,2.3,0,1
01-01-2024 00:40,76,61,5960,6.81,3,0,1
01-01-2024 00:41,73,60,6540,6.9,4,0,1
01-01-2024 00:42,71,54,5102,6.71,2.9,0,1
01-01-2024 00:43,70,60,6306,6.49,3.3,0,1
01-01-2024 00:44,65,56,6133,6.68,2.3,0,1
01-01-2024 00:45,68,62,6394,6.39,3.3,0,1
01-01-2024 00:46,70,61,6231,7.02,2.9,0,1
01-01-2024 00:47,77,57,7964,6.62,3.7,0,1
01-01-2024 00:48,74,58,5490,7.12,3.8,0,1
01-01-2024 00:49,63,57,5575,6.22,4.8,0,1
01-01-2024 00:50,140,60,5501,7.17,3.4,1,1
01-01-2024 00:51,70,63,5556,7.42,3.2,0,1
01-01-2024 00:52,69,57,5490,6,3.1,0,1
01-01-2024 00:53,75,62,6951,7.19,2.8,0,1
01-01-2024 00:54,77,58,7136,7.61,3.2,0,1
01-01-2024 00:55,77,58,5543,6.4,2.8,0,1
01-01-2024 00:56,68,60,5334,7.84,3.1,0,1
01-01-2024 00:57,70,57,6377,7.21,3.9,0,1
01-01-2024 00:58,74,58,5558,6.65,2.3,0,1
01-01-2024 00:59,77,56,6506,6.97,3.8,0,1
01-01-2024 01:00,70,66,6162,7.28,3.9,0,1
01-01-2024 01:01,71,60,4787,7.04,2.9,0,1
01-01-2024 01:02,66,58,7238,7.27,1.5,0,1
01-01-2024 01:03,66,61,7437,6.54,2.6,0,1
01-01-2024 01:04,76,60,5510,7.08,3.9,0,1
01-01-2024 01:05,79,59,5690,6.29,3,0,1
01-01-2024 01:06,72,62,6229,6.94,2.3,0,1
01-01-2024 01:07,77,62,6268,6.55,2.6,0,1
01-01-2024 01:08,74,58,6527,6.63,3.6,0,1
01-01-2024 01:09,69,58,7608,7.62,3.4,0,1
01-01-2024 01:10,74,59,5858,7.55,2.8,0,1
01-01-2024 01:11,80,53,5361,7.3,2.7,0,1
01-01-2024 01:12,72,55,4897,6.45,2.7,0,1
01-01-2024 01:13,80,64,5415,6.84,2.4,0,1
